Date,Month,Month_Year,Year,Week_day,Quarter,Quarter_Year,Week_Num,Month_Num,Day_Num,Date_Num
2017/01/31,January,Jan-2017,2017,Tuesday,Q1,Q1_2017,5,1,3,31
2017/02/01,February,Feb-2017,2017,Wednesday,Q1,Q1_2017,5,2,4,01
2017/02/02,February,Feb-2017,2017,Thursday,Q1,Q1_2017,5,2,5,02
2017/02/03,February,Feb-2017,2017,Friday,Q1,Q1_2017,5,2,6,03
2017/02/04,February,Feb-2017,2017,Saturday,Q1,Q1_2017,5,2,7,04
2017/02/05,February,Feb-2017,2017,Sunday,Q1,Q1_2017,6,2,1,05
2017/02/06,February,Feb-2017,2017,Monday,Q1,Q1_2017,6,2,2,06
2017/02/07,February,Feb-2017,2017,Tuesday,Q1,Q1_2017,6,2,3,07
2017/02/08,February,Feb-2017,2017,Wednesday,Q1,Q1_2017,6,2,4,08
2017/02/09,February,Feb-2017,2017,Thursday,Q1,Q1_2017,6,2,5,09
2017/02/10,February,Feb-2017,2017,Friday,Q1,Q1_2017,6,2,6,10
2017/02/11,February,Feb-2017,2017,Saturday,Q1,Q1_2017,6,2,7,11
2017/02/12,February,Feb-2017,2017,Sunday,Q1,Q1_2017,7,2,1,12
2017/02/13,February,Feb-2017,2017,Monday,Q1,Q1_2017,7,2,2,13
2017/02/14,February,Feb-2017,2017,Tuesday,Q1,Q1_2017,7,2,3,14
2017/02/15,February,Feb-2017,2017,Wednesday,Q1,Q1_2017,7,2,4,15
2017/02/16,February,Feb-2017,2017,Thursday,Q1,Q1_2017,7,2,5,16
2017/02/17,February,Feb-2017,2017,Friday,Q1,Q1_2017,7,2,6,17
2017/02/18,February,Feb-2017,2017,Saturday,Q1,Q1_2017,7,2,7,18
2017/02/19,February,Feb-2017,2017,Sunday,Q1,Q1_2017,8,2,1,19
2017/02/20,February,Feb-2017,2017,Monday,Q1,Q1_2017,8,2,2,20
2017/02/21,February,Feb-2017,2017,Tuesday,Q1,Q1_2017,8,2,3,21
2017/02/22,February,Feb-2017,2017,Wednesday,Q1,Q1_2017,8,2,4,22
2017/02/23,February,Feb-2017,2017,Thursday,Q1,Q1_2017,8,2,5,23
2017/02/24,February,Feb-2017,2017,Friday,Q1,Q1_2017,8,2,6,24
2017/02/25,February,Feb-2017,2017,Saturday,Q1,Q1_2017,8,2,7,25
2017/02/26,February,Feb-2017,2017,Sunday,Q1,Q1_2017,9,2,1,26
2017/02/27,February,Feb-2017,2017,Monday,Q1,Q1_2017,9,2,2,27
2017/02/28,February,Feb-2017,2017,Tuesday,Q1,Q1_2017,9,2,3,28
2017/03/01,March,Mar-2017,2017,Wednesday,Q1,Q1_2017,9,3,4,01
2017/03/02,March,Mar-2017,2017,Thursday,Q1,Q1_2017,9,3,5,02
2017/03/03,March,Mar-2017,2017,Friday,Q1,Q1_2017,9,3,6,03
2017/03/04,March,Mar-2017,2017,Saturday,Q1,Q1_2017,9,3,7,04
2017/03/05,March,Mar-2017,2017,Sunday,Q1,Q1_2017,10,3,1,05
2017/03/06,March,Mar-2017,2017,Monday,Q1,Q1_2017,10,3,2,06
2017/03/07,March,Mar-2017,2017,Tuesday,Q1,Q1_2017,10,3,3,07
2017/03/08,March,Mar-2017,2017,Wednesday,Q1,Q1_2017,10,3,4,08
2017/03/09,March,Mar-2017,2017,Thursday,Q1,Q1_2017,10,3,5,09
2017/03/10,March,Mar-2017,2017,Friday,Q1,Q1_2017,10,3,6,10
2017/03/11,March,Mar-2017,2017,Saturday,Q1,Q1_2017,10,3,7,11
2017/03/12,March,Mar-2017,2017,Sunday,Q1,Q1_2017,11,3,1,12
2017/03/13,March,Mar-2017,2017,Monday,Q1,Q1_2017,11,3,2,13
2017/03/14,March,Mar-2017,2017,Tuesday,Q1,Q1_2017,11,3,3,14
2017/03/15,March,Mar-2017,2017,Wednesday,Q1,Q1_2017,11,3,4,15
2017/03/16,March,Mar-2017,2017,Thursday,Q1,Q1_2017,11,3,5,16
2017/03/17,March,Mar-2017,2017,Friday,Q1,Q1_2017,11,3,6,17
2017/03/18,March,Mar-2017,2017,Saturday,Q1,Q1_2017,11,3,7,18
2017/03/19,March,Mar-2017,2017,Sunday,Q1,Q1_2017,12,3,1,19
2017/03/20,March,Mar-2017,2017,Monday,Q1,Q1_2017,12,3,2,20
2017/03/21,March,Mar-2017,2017,Tuesday,Q1,Q1_2017,12,3,3,21
2017/03/22,March,Mar-2017,2017,Wednesday,Q1,Q1_2017,12,3,4,22
2017/03/23,March,Mar-2017,2017,Thursday,Q1,Q1_2017,12,3,5,23
2017/03/24,March,Mar-2017,2017,Friday,Q1,Q1_2017,12,3,6,24
2017/03/25,March,Mar-2017,2017,Saturday,Q1,Q1_2017,12,3,7,25
2017/03/26,March,Mar-2017,2017,Sunday,Q1,Q1_2017,13,3,1,26
2017/03/27,March,Mar-2017,2017,Monday,Q1,Q1_2017,13,3,2,27
2017/03/28,March,Mar-2017,2017,Tuesday,Q1,Q1_2017,13,3,3,28
2017/03/29,March,Mar-2017,2017,Wednesday,Q1,Q1_2017,13,3,4,29
2017/03/30,March,Mar-2017,2017,Thursday,Q1,Q1_2017,13,3,5,30
2017/03/31,March,Mar-2017,2017,Friday,Q1,Q1_2017,13,3,6,31
2017/04/01,April,Apr-2017,2017,Saturday,Q2,Q2_2017,13,4,7,01
2017/04/02,April,Apr-2017,2017,Sunday,Q2,Q2_2017,14,4,1,02
2017/04/03,April,Apr-2017,2017,Monday,Q2,Q2_2017,14,4,2,03
2017/04/04,April,Apr-2017,2017,Tuesday,Q2,Q2_2017,14,4,3,04
2017/04/05,April,Apr-2017,2017,Wednesday,Q2,Q2_2017,14,4,4,05
2017/04/06,April,Apr-2017,2017,Thursday,Q2,Q2_2017,14,4,5,06
2017/04/07,April,Apr-2017,2017,Friday,Q2,Q2_2017,14,4,6,07
2017/04/08,April,Apr-2017,2017,Saturday,Q2,Q2_2017,14,4,7,08
2017/04/09,April,Apr-2017,2017,Sunday,Q2,Q2_2017,15,4,1,09
2017/04/10,April,Apr-2017,2017,Monday,Q2,Q2_2017,15,4,2,10
2017/04/11,April,Apr-2017,2017,Tuesday,Q2,Q2_2017,15,4,3,11
2017/04/12,April,Apr-2017,2017,Wednesday,Q2,Q2_2017,15,4,4,12
2017/04/13,April,Apr-2017,2017,Thursday,Q2,Q2_2017,15,4,5,13
2017/04/14,April,Apr-2017,2017,Friday,Q2,Q2_2017,15,4,6,14
2017/04/15,April,Apr-2017,2017,Saturday,Q2,Q2_2017,15,4,7,15
2017/04/16,April,Apr-2017,2017,Sunday,Q2,Q2_2017,16,4,1,16
2017/04/17,April,Apr-2017,2017,Monday,Q2,Q2_2017,16,4,2,17
2017/04/18,April,Apr-2017,2017,Tuesday,Q2,Q2_2017,16,4,3,18
2017/04/19,April,Apr-2017,2017,Wednesday,Q2,Q2_2017,16,4,4,19
2017/04/20,April,Apr-2017,2017,Thursday,Q2,Q2_2017,16,4,5,20
2017/04/21,April,Apr-2017,2017,Friday,Q2,Q2_2017,16,4,6,21
2017/04/22,April,Apr-2017,2017,Saturday,Q2,Q2_2017,16,4,7,22
2017/04/23,April,Apr-2017,2017,Sunday,Q2,Q2_2017,17,4,1,23
2017/04/24,April,Apr-2017,2017,Monday,Q2,Q2_2017,17,4,2,24
2017/04/25,April,Apr-2017,2017,Tuesday,Q2,Q2_2017,17,4,3,25
2017/04/26,April,Apr-2017,2017,Wednesday,Q2,Q2_2017,17,4,4,26
2017/04/27,April,Apr-2017,2017,Thursday,Q2,Q2_2017,17,4,5,27
2017/04/28,April,Apr-2017,2017,Friday,Q2,Q2_2017,17,4,6,28
2017/04/29,April,Apr-2017,2017,Saturday,Q2,Q2_2017,17,4,7,29
2017/04/30,April,Apr-2017,2017,Sunday,Q2,Q2_2017,18,4,1,30
2017/05/01,May,May-2017,2017,Monday,Q2,Q2_2017,18,5,2,01
2017/05/02,May,May-2017,2017,Tuesday,Q2,Q2_2017,18,5,3,02
2017/05/03,May,May-2017,2017,Wednesday,Q2,Q2_2017,18,5,4,03
2017/05/04,May,May-2017,2017,Thursday,Q2,Q2_2017,18,5,5,04
2017/05/05,May,May-2017,2017,Friday,Q2,Q2_2017,18,5,6,05
2017/05/06,May,May-2017,2017,Saturday,Q2,Q2_2017,18,5,7,06
2017/05/07,May,May-2017,2017,Sunday,Q2,Q2_2017,19,5,1,07
2017/05/08,May,May-2017,2017,Monday,Q2,Q2_2017,19,5,2,08
2017/05/09,May,May-2017,2017,Tuesday,Q2,Q2_2017,19,5,3,09
2017/05/10,May,May-2017,2017,Wednesday,Q2,Q2_2017,19,5,4,10
2017/05/11,May,May-2017,2017,Thursday,Q2,Q2_2017,19,5,5,11
2017/05/12,May,May-2017,2017,Friday,Q2,Q2_2017,19,5,6,12
2017/05/13,May,May-2017,2017,Saturday,Q2,Q2_2017,19,5,7,13
2017/05/14,May,May-2017,2017,Sunday,Q2,Q2_2017,20,5,1,14
2017/05/15,May,May-2017,2017,Monday,Q2,Q2_2017,20,5,2,15
2017/05/16,May,May-2017,2017,Tuesday,Q2,Q2_2017,20,5,3,16
2017/05/17,May,May-2017,2017,Wednesday,Q2,Q2_2017,20,5,4,17
2017/05/18,May,May-2017,2017,Thursday,Q2,Q2_2017,20,5,5,18
2017/05/19,May,May-2017,2017,Friday,Q2,Q2_2017,20,5,6,19
2017/05/20,May,May-2017,2017,Saturday,Q2,Q2_2017,20,5,7,20
2017/05/21,May,May-2017,2017,Sunday,Q2,Q2_2017,21,5,1,21
2017/05/22,May,May-2017,2017,Monday,Q2,Q2_2017,21,5,2,22
2017/05/23,May,May-2017,2017,Tuesday,Q2,Q2_2017,21,5,3,23
2017/05/24,May,May-2017,2017,Wednesday,Q2,Q2_2017,21,5,4,24
2017/05/25,May,May-2017,2017,Thursday,Q2,Q2_2017,21,5,5,25
2017/05/26,May,May-2017,2017,Friday,Q2,Q2_2017,21,5,6,26
2017/05/27,May,May-2017,2017,Saturday,Q2,Q2_2017,21,5,7,27
2017/05/28,May,May-2017,2017,Sunday,Q2,Q2_2017,22,5,1,28
2017/05/29,May,May-2017,2017,Monday,Q2,Q2_2017,22,5,2,29
2017/05/30,May,May-2017,2017,Tuesday,Q2,Q2_2017,22,5,3,30
2017/05/31,May,May-2017,2017,Wednesday,Q2,Q2_2017,22,5,4,31
2017/06/01,June,Jun-2017,2017,Thursday,Q2,Q2_2017,22,6,5,01
2017/06/02,June,Jun-2017,2017,Friday,Q2,Q2_2017,22,6,6,02
2017/06/03,June,Jun-2017,2017,Saturday,Q2,Q2_2017,22,6,7,03
2017/06/04,June,Jun-2017,2017,Sunday,Q2,Q2_2017,23,6,1,04
2017/06/05,June,Jun-2017,2017,Monday,Q2,Q2_2017,23,6,2,05
2017/06/06,June,Jun-2017,2017,Tuesday,Q2,Q2_2017,23,6,3,06
2017/06/07,June,Jun-2017,2017,Wednesday,Q2,Q2_2017,23,6,4,07
2017/06/08,June,Jun-2017,2017,Thursday,Q2,Q2_2017,23,6,5,08
2017/06/09,June,Jun-2017,2017,Friday,Q2,Q2_2017,23,6,6,09
2017/06/10,June,Jun-2017,2017,Saturday,Q2,Q2_2017,23,6,7,10
2017/06/11,June,Jun-2017,2017,Sunday,Q2,Q2_2017,24,6,1,11
2017/06/12,June,Jun-2017,2017,Monday,Q2,Q2_2017,24,6,2,12
2017/06/13,June,Jun-2017,2017,Tuesday,Q2,Q2_2017,24,6,3,13
2017/06/14,June,Jun-2017,2017,Wednesday,Q2,Q2_2017,24,6,4,14
2017/06/15,June,Jun-2017,2017,Thursday,Q2,Q2_2017,24,6,5,15
2017/06/16,June,Jun-2017,2017,Friday,Q2,Q2_2017,24,6,6,16
2017/06/17,June,Jun-2017,2017,Saturday,Q2,Q2_2017,24,6,7,17
2017/06/18,June,Jun-2017,2017,Sunday,Q2,Q2_2017,25,6,1,18
2017/06/19,June,Jun-2017,2017,Monday,Q2,Q2_2017,25,6,2,19
2017/06/20,June,Jun-2017,2017,Tuesday,Q2,Q2_2017,25,6,3,20
2017/06/21,June,Jun-2017,2017,Wednesday,Q2,Q2_2017,25,6,4,21
2017/06/22,June,Jun-2017,2017,Thursday,Q2,Q2_2017,25,6,5,22
2017/06/23,June,Jun-2017,2017,Friday,Q2,Q2_2017,25,6,6,23
2017/06/24,June,Jun-2017,2017,Saturday,Q2,Q2_2017,25,6,7,24
2017/06/25,June,Jun-2017,2017,Sunday,Q2,Q2_2017,26,6,1,25
2017/06/26,June,Jun-2017,2017,Monday,Q2,Q2_2017,26,6,2,26
2017/06/27,June,Jun-2017,2017,Tuesday,Q2,Q2_2017,26,6,3,27
2017/06/28,June,Jun-2017,2017,Wednesday,Q2,Q2_2017,26,6,4,28
2017/06/29,June,Jun-2017,2017,Thursday,Q2,Q2_2017,26,6,5,29
2017/06/30,June,Jun-2017,2017,Friday,Q2,Q2_2017,26,6,6,30
2017/07/01,July,Jul-2017,2017,Saturday,Q3,Q3_2017,26,7,7,01
2017/07/02,July,Jul-2017,2017,Sunday,Q3,Q3_2017,27,7,1,02
2017/07/03,July,Jul-2017,2017,Monday,Q3,Q3_2017,27,7,2,03
2017/07/04,July,Jul-2017,2017,Tuesday,Q3,Q3_2017,27,7,3,04
2017/07/05,July,Jul-2017,2017,Wednesday,Q3,Q3_2017,27,7,4,05
2017/07/06,July,Jul-2017,2017,Thursday,Q3,Q3_2017,27,7,5,06
2017/07/07,July,Jul-2017,2017,Friday,Q3,Q3_2017,27,7,6,07
2017/07/08,July,Jul-2017,2017,Saturday,Q3,Q3_2017,27,7,7,08
2017/07/09,July,Jul-2017,2017,Sunday,Q3,Q3_2017,28,7,1,09
2017/07/10,July,Jul-2017,2017,Monday,Q3,Q3_2017,28,7,2,10
2017/07/11,July,Jul-2017,2017,Tuesday,Q3,Q3_2017,28,7,3,11
2017/07/12,July,Jul-2017,2017,Wednesday,Q3,Q3_2017,28,7,4,12
2017/07/13,July,Jul-2017,2017,Thursday,Q3,Q3_2017,28,7,5,13
2017/07/14,July,Jul-2017,2017,Friday,Q3,Q3_2017,28,7,6,14
2017/07/15,July,Jul-2017,2017,Saturday,Q3,Q3_2017,28,7,7,15
2017/07/16,July,Jul-2017,2017,Sunday,Q3,Q3_2017,29,7,1,16
2017/07/17,July,Jul-2017,2017,Monday,Q3,Q3_2017,29,7,2,17
2017/07/18,July,Jul-2017,2017,Tuesday,Q3,Q3_2017,29,7,3,18
2017/07/19,July,Jul-2017,2017,Wednesday,Q3,Q3_2017,29,7,4,19
2017/07/20,July,Jul-2017,2017,Thursday,Q3,Q3_2017,29,7,5,20
2017/07/21,July,Jul-2017,2017,Friday,Q3,Q3_2017,29,7,6,21
2017/07/22,July,Jul-2017,2017,Saturday,Q3,Q3_2017,29,7,7,22
2017/07/23,July,Jul-2017,2017,Sunday,Q3,Q3_2017,30,7,1,23
2017/07/24,July,Jul-2017,2017,Monday,Q3,Q3_2017,30,7,2,24
2017/07/25,July,Jul-2017,2017,Tuesday,Q3,Q3_2017,30,7,3,25
2017/07/26,July,Jul-2017,2017,Wednesday,Q3,Q3_2017,30,7,4,26
2017/07/27,July,Jul-2017,2017,Thursday,Q3,Q3_2017,30,7,5,27
2017/07/28,July,Jul-2017,2017,Friday,Q3,Q3_2017,30,7,6,28
2017/07/29,July,Jul-2017,2017,Saturday,Q3,Q3_2017,30,7,7,29
2017/07/30,July,Jul-2017,2017,Sunday,Q3,Q3_2017,31,7,1,30
2017/07/31,July,Jul-2017,2017,Monday,Q3,Q3_2017,31,7,2,31
2017/08/01,August,Aug-2017,2017,Tuesday,Q3,Q3_2017,31,8,3,01
2017/08/02,August,Aug-2017,2017,Wednesday,Q3,Q3_2017,31,8,4,02
2017/08/03,August,Aug-2017,2017,Thursday,Q3,Q3_2017,31,8,5,03
2017/08/04,August,Aug-2017,2017,Friday,Q3,Q3_2017,31,8,6,04
2017/08/05,August,Aug-2017,2017,Saturday,Q3,Q3_2017,31,8,7,05
2017/08/06,August,Aug-2017,2017,Sunday,Q3,Q3_2017,32,8,1,06
2017/08/07,August,Aug-2017,2017,Monday,Q3,Q3_2017,32,8,2,07
2017/08/08,August,Aug-2017,2017,Tuesday,Q3,Q3_2017,32,8,3,08
2017/08/09,August,Aug-2017,2017,Wednesday,Q3,Q3_2017,32,8,4,09
2017/08/10,August,Aug-2017,2017,Thursday,Q3,Q3_2017,32,8,5,10
2017/08/11,August,Aug-2017,2017,Friday,Q3,Q3_2017,32,8,6,11
2017/08/12,August,Aug-2017,2017,Saturday,Q3,Q3_2017,32,8,7,12
2017/08/13,August,Aug-2017,2017,Sunday,Q3,Q3_2017,33,8,1,13
2017/08/14,August,Aug-2017,2017,Monday,Q3,Q3_2017,33,8,2,14
2017/08/15,August,Aug-2017,2017,Tuesday,Q3,Q3_2017,33,8,3,15
2017/08/16,August,Aug-2017,2017,Wednesday,Q3,Q3_2017,33,8,4,16
2017/08/17,August,Aug-2017,2017,Thursday,Q3,Q3_2017,33,8,5,17
2017/08/18,August,Aug-2017,2017,Friday,Q3,Q3_2017,33,8,6,18
2017/08/19,August,Aug-2017,2017,Saturday,Q3,Q3_2017,33,8,7,19
2017/08/20,August,Aug-2017,2017,Sunday,Q3,Q3_2017,34,8,1,20
2017/08/21,August,Aug-2017,2017,Monday,Q3,Q3_2017,34,8,2,21
2017/08/22,August,Aug-2017,2017,Tuesday,Q3,Q3_2017,34,8,3,22
2017/08/23,August,Aug-2017,2017,Wednesday,Q3,Q3_2017,34,8,4,23
2017/08/24,August,Aug-2017,2017,Thursday,Q3,Q3_2017,34,8,5,24
2017/08/25,August,Aug-2017,2017,Friday,Q3,Q3_2017,34,8,6,25
2017/08/26,August,Aug-2017,2017,Saturday,Q3,Q3_2017,34,8,7,26
2017/08/27,August,Aug-2017,2017,Sunday,Q3,Q3_2017,35,8,1,27
2017/08/28,August,Aug-2017,2017,Monday,Q3,Q3_2017,35,8,2,28
2017/08/29,August,Aug-2017,2017,Tuesday,Q3,Q3_2017,35,8,3,29
2017/08/30,August,Aug-2017,2017,Wednesday,Q3,Q3_2017,35,8,4,30
2017/08/31,August,Aug-2017,2017,Thursday,Q3,Q3_2017,35,8,5,31
2017/09/01,September,Sep-2017,2017,Friday,Q3,Q3_2017,35,9,6,01
2017/09/02,September,Sep-2017,2017,Saturday,Q3,Q3_2017,35,9,7,02
2017/09/03,September,Sep-2017,2017,Sunday,Q3,Q3_2017,36,9,1,03
2017/09/04,September,Sep-2017,2017,Monday,Q3,Q3_2017,36,9,2,04
2017/09/05,September,Sep-2017,2017,Tuesday,Q3,Q3_2017,36,9,3,05
2017/09/06,September,Sep-2017,2017,Wednesday,Q3,Q3_2017,36,9,4,06
2017/09/07,September,Sep-2017,2017,Thursday,Q3,Q3_2017,36,9,5,07
2017/09/08,September,Sep-2017,2017,Friday,Q3,Q3_2017,36,9,6,08
2017/09/09,September,Sep-2017,2017,Saturday,Q3,Q3_2017,36,9,7,09
2017/09/10,September,Sep-2017,2017,Sunday,Q3,Q3_2017,37,9,1,10
2017/09/11,September,Sep-2017,2017,Monday,Q3,Q3_2017,37,9,2,11
2017/09/12,September,Sep-2017,2017,Tuesday,Q3,Q3_2017,37,9,3,12
2017/09/13,September,Sep-2017,2017,Wednesday,Q3,Q3_2017,37,9,4,13
2017/09/14,September,Sep-2017,2017,Thursday,Q3,Q3_2017,37,9,5,14
2017/09/15,September,Sep-2017,2017,Friday,Q3,Q3_2017,37,9,6,15
2017/09/16,September,Sep-2017,2017,Saturday,Q3,Q3_2017,37,9,7,16
2017/09/17,September,Sep-2017,2017,Sunday,Q3,Q3_2017,38,9,1,17
2017/09/18,September,Sep-2017,2017,Monday,Q3,Q3_2017,38,9,2,18
2017/09/19,September,Sep-2017,2017,Tuesday,Q3,Q3_2017,38,9,3,19
2017/09/20,September,Sep-2017,2017,Wednesday,Q3,Q3_2017,38,9,4,20
2017/09/21,September,Sep-2017,2017,Thursday,Q3,Q3_2017,38,9,5,21
2017/09/22,September,Sep-2017,2017,Friday,Q3,Q3_2017,38,9,6,22
2017/09/23,September,Sep-2017,2017,Saturday,Q3,Q3_2017,38,9,7,23
2017/09/24,September,Sep-2017,2017,Sunday,Q3,Q3_2017,39,9,1,24
2017/09/25,September,Sep-2017,2017,Monday,Q3,Q3_2017,39,9,2,25
2017/09/26,September,Sep-2017,2017,Tuesday,Q3,Q3_2017,39,9,3,26
2017/09/27,September,Sep-2017,2017,Wednesday,Q3,Q3_2017,39,9,4,27
2017/09/28,September,Sep-2017,2017,Thursday,Q3,Q3_2017,39,9,5,28
2017/09/29,September,Sep-2017,2017,Friday,Q3,Q3_2017,39,9,6,29
2017/09/30,September,Sep-2017,2017,Saturday,Q3,Q3_2017,39,9,7,30
2017/10/01,October,Oct-2017,2017,Sunday,Q4,Q4_2017,40,10,1,01
2017/10/02,October,Oct-2017,2017,Monday,Q4,Q4_2017,40,10,2,02
2017/10/03,October,Oct-2017,2017,Tuesday,Q4,Q4_2017,40,10,3,03
2017/10/04,October,Oct-2017,2017,Wednesday,Q4,Q4_2017,40,10,4,04
2017/10/05,October,Oct-2017,2017,Thursday,Q4,Q4_2017,40,10,5,05
2017/10/06,October,Oct-2017,2017,Friday,Q4,Q4_2017,40,10,6,06
2017/10/07,October,Oct-2017,2017,Saturday,Q4,Q4_2017,40,10,7,07
2017/10/08,October,Oct-2017,2017,Sunday,Q4,Q4_2017,41,10,1,08
2017/10/09,October,Oct-2017,2017,Monday,Q4,Q4_2017,41,10,2,09
2017/10/10,October,Oct-2017,2017,Tuesday,Q4,Q4_2017,41,10,3,10
2017/10/11,October,Oct-2017,2017,Wednesday,Q4,Q4_2017,41,10,4,11
2017/10/12,October,Oct-2017,2017,Thursday,Q4,Q4_2017,41,10,5,12
2017/10/13,October,Oct-2017,2017,Friday,Q4,Q4_2017,41,10,6,13
2017/10/14,October,Oct-2017,2017,Saturday,Q4,Q4_2017,41,10,7,14
2017/10/15,October,Oct-2017,2017,Sunday,Q4,Q4_2017,42,10,1,15
2017/10/16,October,Oct-2017,2017,Monday,Q4,Q4_2017,42,10,2,16
2017/10/17,October,Oct-2017,2017,Tuesday,Q4,Q4_2017,42,10,3,17
2017/10/18,October,Oct-2017,2017,Wednesday,Q4,Q4_2017,42,10,4,18
2017/10/19,October,Oct-2017,2017,Thursday,Q4,Q4_2017,42,10,5,19
2017/10/20,October,Oct-2017,2017,Friday,Q4,Q4_2017,42,10,6,20
2017/10/21,October,Oct-2017,2017,Saturday,Q4,Q4_2017,42,10,7,21
2017/10/22,October,Oct-2017,2017,Sunday,Q4,Q4_2017,43,10,1,22
2017/10/23,October,Oct-2017,2017,Monday,Q4,Q4_2017,43,10,2,23
2017/10/24,October,Oct-2017,2017,Tuesday,Q4,Q4_2017,43,10,3,24
2017/10/25,October,Oct-2017,2017,Wednesday,Q4,Q4_2017,43,10,4,25
2017/10/26,October,Oct-2017,2017,Thursday,Q4,Q4_2017,43,10,5,26
2017/10/27,October,Oct-2017,2017,Friday,Q4,Q4_2017,43,10,6,27
2017/10/28,October,Oct-2017,2017,Saturday,Q4,Q4_2017,43,10,7,28
2017/10/29,October,Oct-2017,2017,Sunday,Q4,Q4_2017,44,10,1,29
2017/10/30,October,Oct-2017,2017,Monday,Q4,Q4_2017,44,10,2,30
2017/10/31,October,Oct-2017,2017,Tuesday,Q4,Q4_2017,44,10,3,31
2017/11/01,November,Nov-2017,2017,Wednesday,Q4,Q4_2017,44,11,4,01
2017/11/02,November,Nov-2017,2017,Thursday,Q4,Q4_2017,44,11,5,02
2017/11/03,November,Nov-2017,2017,Friday,Q4,Q4_2017,44,11,6,03
2017/11/04,November,Nov-2017,2017,Saturday,Q4,Q4_2017,44,11,7,04
2017/11/05,November,Nov-2017,2017,Sunday,Q4,Q4_2017,45,11,1,05
2017/11/06,November,Nov-2017,2017,Monday,Q4,Q4_2017,45,11,2,06
2017/11/07,November,Nov-2017,2017,Tuesday,Q4,Q4_2017,45,11,3,07
2017/11/08,November,Nov-2017,2017,Wednesday,Q4,Q4_2017,45,11,4,08
2017/11/09,November,Nov-2017,2017,Thursday,Q4,Q4_2017,45,11,5,09
2017/11/10,November,Nov-2017,2017,Friday,Q4,Q4_2017,45,11,6,10
2017/11/11,November,Nov-2017,2017,Saturday,Q4,Q4_2017,45,11,7,11
2017/11/12,November,Nov-2017,2017,Sunday,Q4,Q4_2017,46,11,1,12
2017/11/13,November,Nov-2017,2017,Monday,Q4,Q4_2017,46,11,2,13
2017/11/14,November,Nov-2017,2017,Tuesday,Q4,Q4_2017,46,11,3,14
2017/11/15,November,Nov-2017,2017,Wednesday,Q4,Q4_2017,46,11,4,15
2017/11/16,November,Nov-2017,2017,Thursday,Q4,Q4_2017,46,11,5,16
2017/11/17,November,Nov-2017,2017,Friday,Q4,Q4_2017,46,11,6,17
2017/11/18,November,Nov-2017,2017,Saturday,Q4,Q4_2017,46,11,7,18
2017/11/19,November,Nov-2017,2017,Sunday,Q4,Q4_2017,47,11,1,19
2017/11/20,November,Nov-2017,2017,Monday,Q4,Q4_2017,47,11,2,20
